title,adventurer_level,level_order,source_scope,source_page,source_url,image_url,reason
Los ABC,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/dna-los_abc.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/abc_orig.png,Sección regional: División Norteamericana
Colores,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/dna-colores.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/colores_orig.png,Sección regional: División Norteamericana
Compartir,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_compartir.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/compartir_orig.png,Sección regional: División Norteamericana
Cuerpos de agua,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_cuerpos_de_agua.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/cuerpos-de-agua_orig.png,Sección regional: División Norteamericana
Mi amigo Jesús,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_mi_amigo_jesús.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/amigo-jes-s_orig.png,Sección regional: División Norteamericana
El niño Jesús,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_el_niño_jesús.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/ni-o-jes-s_orig.png,Sección regional: División Norteamericana
Números,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/dna-números.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/n-meros_orig.png,Sección regional: División Norteamericana
Triciclios y bicicletas,Corderito (preescolar),preescolar,División Norteamericana,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/dna-triciclos_y_bicicletas.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/triciclos_orig.png,Sección regional: División Norteamericana
Recaudación de fondos para ADRA,Corderito (preescolar),preescolar,Unión Británica,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/ub_-_recaudación_de_fondos_para_adra__estrellita_.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/estrellita-adra_orig.png,Sección regional: Unión Británica
El alfabeto,Corderito (preescolar),preescolar,Asociación de Florida,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/estrellita-fl_el_alfabeto.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/542398.png,Sección regional: Asociación de Florida
