slug,title,adventurer_level,level_order,source_scope,source_kind,requirements_detected,pdf,md,raw_txt,image,image_width,image_height,source_page,source_url,image_url,error
corderitos-alimentos-sanos,Alimentos sanos,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-alimentos-sanos.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-alimentos-sanos.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-alimentos-sanos.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-alimentos-sanos.png,962,952,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_alimentos_sanos.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/alimentos-sanos_orig.png,
corderitos-amigos-de-la-biblia,Amigos de la Biblia,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-amigos-de-la-biblia.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-amigos-de-la-biblia.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-amigos-de-la-biblia.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-amigos-de-la-biblia.png,568,577,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_amigos_de_la_biblia.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/amigos-de-la-biblia-estrellita_orig.png,
corderitos-animales-del-zoologico,Animales del zoológico,Corderito (preescolar),preescolar,Asociación General,pdf,6,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-animales-del-zoologico.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-animales-del-zoologico.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-animales-del-zoologico.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-animales-del-zoologico.png,780,767,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_animales_del_zoológico.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/animales-del-zool-gico_orig.png,
corderitos-ayudantes-en-la-comunidad,Ayudantes en la comunidad,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-ayudantes-en-la-comunidad.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-ayudantes-en-la-comunidad.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-ayudantes-en-la-comunidad.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-ayudantes-en-la-comunidad.png,782,774,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventueros_ayudantes_en_la_comunidad.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/ayudantes-de-la-comunidad_orig.png,
corderitos-ayudante-especial,Ayudante especial,Corderito (preescolar),preescolar,Asociación General,pdf,5,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-ayudante-especial.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-ayudante-especial.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-ayudante-especial.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-ayudante-especial.png,790,777,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_ayudante_especial.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/ayudante-especial_orig.png,
corderitos-corderito-de-lana,Corderito de lana,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-corderito-de-lana.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-corderito-de-lana.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-corderito-de-lana.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-corderito-de-lana.png,779,776,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_corderito_de_lana.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/lana_orig.png,
corderitos-estrellas,Estrellas,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-estrellas.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-estrellas.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-estrellas.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-estrellas.png,990,982,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_estrellas.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/estrellas-corderitos_orig.png,
corderitos-insectos,Insectos,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-insectos.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-insectos.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-insectos.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-insectos.png,787,777,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_insectos.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/insectos_orig.png,
corderitos-musica,Música,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-musica.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-musica.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-musica.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-musica.png,789,780,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/estrellita-música.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/m-sica_orig.png,
corderitos-sano-y-fuerte,Sano y fuerte,Corderito (preescolar),preescolar,Asociación General,pdf,4,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/pdf/corderitos-sano-y-fuerte.pdf,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/md/corderitos-sano-y-fuerte.md,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/raw/corderitos-sano-y-fuerte.txt,/Users/abner/Documents/development/sacdia/docs/working/aventureros-especialidades/images/corderitos-sano-y-fuerte.png,316,313,https://www.guiasmayores.com/especialidades-de-corderitos.html,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/aventureros_sano_y_fuerte.pdf,https://www.guiasmayores.com/uploads/1/1/3/1/1131412/4304839_orig.png,
