slug,title,level,requirements_detected,pdf,md,raw_txt,error
acolchado,acolchado,2,7,/Users/abner/Downloads/S3/honors_pdf/acolchado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/acolchado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/acolchado.txt,
acuarios,acuarios,3,12,/Users/abner/Downloads/S3/honors_pdf/acuarios.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/acuarios.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/acuarios.txt,
adinkra,adinkra,1,10,/Users/abner/Downloads/S3/honors_pdf/adinkra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/adinkra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/adinkra.txt,
administracion,administracion,2,10,/Users/abner/Downloads/S3/honors_pdf/administracion.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/administracion.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/administracion.txt,
adoracion-cristiana,adoracion cristiana,2,7,/Users/abner/Downloads/S3/honors_pdf/adoracion_cristiana.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/adoracion-cristiana.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/adoracion-cristiana.txt,
aeromodelismo,aeromodelismo,2,4,/Users/abner/Downloads/S3/honors_pdf/aeromodelismo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aeromodelismo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aeromodelismo.txt,
agricultura,agricultura,2,12,/Users/abner/Downloads/S3/honors_pdf/agricultura.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/agricultura.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/agricultura.txt,
agricultura-subsistencia,agricultura subsistencia,2,10,/Users/abner/Downloads/S3/honors_pdf/agricultura_subsistencia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/agricultura-subsistencia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/agricultura-subsistencia.txt,
albanileria,albanileria,3,8,/Users/abner/Downloads/S3/honors_pdf/albanileria.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/albanileria.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/albanileria.txt,
album-de-recortes,album de recortes,1,10,/Users/abner/Downloads/S3/honors_pdf/album_de_recortes.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/album-de-recortes.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/album-de-recortes.txt,
album-de-recortes-avanzado,album de recortes avanzado,2,7,/Users/abner/Downloads/S3/honors_pdf/album_de_recortes_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/album-de-recortes-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/album-de-recortes-avanzado.txt,
alerta-roja,alerta roja,1,5,/Users/abner/Downloads/S3/honors_pdf/alerta_roja.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/alerta-roja.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/alerta-roja.txt,
alfabetizacion-adra,alfabetizacion adra,2,5,/Users/abner/Downloads/S3/honors_pdf/alfabetizacion_adra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/alfabetizacion-adra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/alfabetizacion-adra.txt,
alfareria,alfareria,2,4,/Users/abner/Downloads/S3/honors_pdf/alfareria.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/alfareria.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/alfareria.txt,
